firstname,rightname,first_location,second_location,third_location,phone,link
Schramm Bauschutt-Recycling GmbH & Co.,Top Partner,Recycling,"Sandgrube,",96275 Marktzeuln,09574 89 59,
Schulze Otto Rüdiger Holz- u. Baustoffrecycling,Top Partner,Recycling,"Birkenweg 4,",15848 Rietz‑Neuendorf,033672 6 01-0,
Schütz Markus GmbH & Co. KG Transportunternehmen,Top Partner,Recycling,"Im Gewerbegebiet 16,",94369 Rain,09429 94 80 95,
"Sporrer Gerhard, Erika",Top Partner,Recycling,"Eck 1,",94424 Arnstorf,08723 14 79,
Steglich M.,Top Partner,Recycling,"Gneisenaustr. 8,",51377 Leverkusen,0214 8 70 73 00,
TETRALOG Kunststoffrecycling e.K.,Top Partner,Recycling,"Am Münsterwald 1,",52159 Roetgen,02471 1 33 70-0,
TSR Recycling GmbH & Co.KG,Top Partner,Recycling,"Am Wasserwerk 7,",04519 Rackwitz,034294 85 97 10,http://www.tsr.eu
TSR Recycling GmbH & Co.KG,Top Partner,Recycling,"Berthelsdorfer Str. 15,",09618 Brand‑Erbisdorf,037322 52 82-0,
TSR Recycling GmbH Co. KG,Top Partner,Recycling,"Lommatzscher Str. 8,",01587 Riesa,03525 5 13 18 20,
TSR The Metal Company TSR Recycling GmbH & Co.KG Dresden,Top Partner,Recycling,"Magdeburger Str. 58,",01067 Dresden,0351 4 98 21 61,
Väth Marco,Top Partner,Recycling,"Am Bäuerleinsberg 5A,",97837 Erlenbach,09391 91 98 86,
Väth Recycling,Top Partner,Recycling,"Heckerstr. 7,",97828,0160 6 11 85 64,
Vogel & Sohn GmbH & Co KG Schrottrecycling,Top Partner,Recycling,"Hardtstr. 22,",91522 Ansbach,0981 4 66 19 40,
Wertstoffhof,Top Partner,Recycling,"Laaberer Str. 23,",93176 Beratzhausen,09493 95 90 30,
Wertstoffhof,Top Partner,Recycling,"Schützenstr. 23,",95173 Schönwald,09287 5 91 48,
"Westarp Alois, Rohstoffhandel Bernhard KG & Co. Recyclingbetrieb",Top Partner,Recycling,"Hafenrandstr. 5,",63741 Aschaffenburg,06021 84 60-0,
Wittmann Lorenz GmbH Entsorgung und Recycling,Top Partner,Recycling,"Vilsbiburger Str. 70‑74,",84144 Geisenhausen,08743 96 08-0,
Wülfert Jürgen KompostBetr.,Top Partner,Recycling,,95030 Hof,09281 6 69 63,
Zwingmann Karl,Top Partner,Recycling,"Dorfstr. 2,",96369 Weißenbrunn,09261 28 94,
,Top Partner,Recycling,,,,
Recycling Väth,Top Partner,Bauschuttrecycling,"Am Bäuerleinsberg 5a,",97837 Erlenbach,0160 6 11 85 64,http://www.recycling-vaeth.de
Fehr Umwelt Ost GmbH Betriebshof Ackerstr.,Top Partner,Baustoffrecycling,"An der Landstr. 1,",01968,03573 8 08 90,http://www.fehr.de
Fehr Umwelt Ost GmbH Betriebshof Ackerstr.,Top Partner,Baustoffrecycling,"An der Landstr. 1,",01968,03573 8 08 90,http://www.fehr.de
Büttel GmbH,Top Partner,Bauschuttrecycling,"Langgewann 60,",67547 Worms,06241 94 66 00,http://www.buettelgmbh.de
,Top Partner,Recycling,,,,
Nagel-Recycling Kunststoffaufbereitung,Top Partner,Kunststoffrecycling,"Benzstr. 11,",73660 Urbach,07181 8 39 79,http://www.nagel-recycling.de
Schramm Bauschutt-Recycling GmbH & Co.,Top Partner,Bauschuttrecycling,"Spitzbergweg 1,",96275 Marktzeuln,09574 89 59,http://www.bauschuttdeponie-schramm.de
Fehr Umwelt Ost GmbH Betriebshof Ackerstr.,Top Partner,Baustoffrecycling,"An der Landstr. 1,",01968,03573 8 08 90,http://www.fehr.de
Fehr Umwelt Ost GmbH Betriebshof Ackerstr.,Top Partner,Baustoffrecycling,"An der Landstr. 1,",01968,03573 8 08 90,http://www.fehr.de
GfB Gesellschaft für Baustoffe u. Recycling mbH,Top Partner,Baustoffrecycling,"Angerstr. 18,",06118 Halle,0345 52 57 80,http://www.gfb-recycling.de
GfB Gesellschaft für Baustoffe u. Recycling mbH,Top Partner,Baustoffrecycling,"Angerstr. 18,",06118 Halle,0345 52 57 80,http://www.gfb-recycling.de
MDR Deponie & Recycling GmbH,Top Partner,Bauschuttrecycling,"An der Autobahn 9‑11,",68789 St. Leon‑Rot,06227 86 45 30,http://www.mdr-gmbh.de
Schreiner Abbruch GmbH Spezialabbruchbetrieb,Top Partner,Bauschuttrecycling,"Hauptstraße 50b,",86415 Grafrath,08233 74 41 85,http://www.schreiner-abbruch.de
Diakoniewerk Arbeit und Kultur gGmbH,Top Partner,Recycling,"Georgstr. 28,",45468 Mülheim an der Ruhr,0208 4 59 53-0,http://www.diakoniewerk-muelheim.de
Ernst Recycling GmbH,Top Partner,Recycling,"Am Biotop 6,",16515 Oranienburg,03301 80 25 43,http://www.ernst-recycling.de
Putzke Recycling und Containerdienst GmbH,Top Partner,Recycling,"Am Ringofen 13,",58089 Hagen,02331 2 61 93,http://www.putzke-schrott.de
Müller Recycling & Vermietung GmbH & Co. KG,Top Partner,Bauschuttrecycling,"Turmstr. 19,",32547 Bad Oeynhausen,05731 79 60 55,http://www.recycling-badoeynhausen.de
Müller & Müller GbR,Top Partner,Recycling,"Lütgendortmunder Hellweg 207‑209,",44894 Bochum,0234 95 35 26 36,http://www.muellers-putzlappen.de
Joh. Warne Nachf. GmbH,Top Partner,Recycling,"Sympherstr. 61,",47138 Duisburg,01520 9 20 61 30,https://www.deinschrottplatz.de/schrottplatz.php?hashid=226
Höhn Balthasar GmbH & Co. KG,Top Partner,Bauschuttrecycling,"Kitzinger Str. 101,",97076 Würzburg,0931 2 00 18-0,http://www.hoehnbau.de
MRC Mülheimer Hausgeräte Recycling Center GmbH,Top Partner,Recycling,"Schultenhofstr. 19‑23,",45475 Mülheim an der Ruhr,0208 75 99 00,http://www.mrc-muelheim.de
Freisler Containerdienst GmbH & Co. KG,Top Partner,Bauschuttrecycling,"Flagentwiet 25,",22457 Hamburg,040 5 50 89 70,http://www.freisler.com
TSR Recycling GmbH & Co. KG,Top Partner,Recycling,"August‑Conrad‑Straße 43,",16761 Hennigsdorf,03302 7 91 20 20,https://www.tsr.eu
TSR Recycling GmbH & Co. KG,Top Partner,Recycling,"Johannes‑Schlaf‑Straße 17,",06268 Querfurt,034771 4 41 18,http://www.tsr.eu
EMMEX Mineralstoff GmbH,Top Partner,Bauschuttrecycling,"Groendahlscher Weg 140,",46446 Emmerich,02822 5 17 23,http://www.emmex.nrw
Brahm Einhart Landwirt u. Recycling,Top Partner,Recycling,"Landsberger Str. 105,",45219 Essen,02054 51 25,http://www.imbrahm-gmbh.de
Hechinger Entsorgung GmbH Containerdienst,Top Partner,Recycling,"Weingarten 1,",85276 Pfaffenhofen,08441 8 95 10,http://www.hechinger-gmbh.de
Baseline GmbH,Top Partner,Tonerankauf,"Harpener Feld 34,",44805 Bochum,0234 9 58 59 90,http://www.baseline-toner.de
Scherer & Kohl GmbH & Co. KG,Top Partner,Baustoffrecycling,"Rheinhorststr. 63,",67071 Ludwigshafen am Rhein,0621 67 15 00,http://www.scherer-kohl.de
Misterek und Gliese GmbH,Top Partner,Recycling,"Kruppstraße 29,",58553 Halver,02353 9 19 60,http://www.mgh-container.de
S & B Kunststoffrecycling GmbH,Top Partner,Kunststoffrecycling,"Kempstr. 45,",32457 Porta Westfalica,0571 39 84 05 20,http://www.sundb-kunststoffrecycling.de
Recycling GmbH,Top Partner,Recycling,"Treuenbrietzener Str. 32,",14823 Niemegk,0172 4 34 13 21,
MSW Metallhandel Südwest GmbH,Top Partner,Recycling,"Engesserstraße 5,",79108 Freiburg im Breisgau,0761 50 44 10,http://www.msw-metallhandel.de
AFM Entsorgungsbetriebe GmbH,Top Partner,Recycling,"Emeranstr. 55,",85622 Feldkirchen,089 6 60 69 00,http://www.afm-entsorgung.de
Klein Michael GmbH,Top Partner,Bauschuttrecycling,"Am Grünberg 5,",92318 Neumarkt,09181 4 24 80,http://www.klein-erdbau.de
Veolia Umweltservice Süd GmbH & Co. KG,Top Partner,Bauschuttrecycling,"Schlörstr. 5,",92507 Nabburg,09433 7 57 96 99,http://www.veolia.de
Johann Döring GmbH & Co. KG Schrott- und Metallgroßhandlung,Top Partner,Recycling,"Bellingerstr. 22,",36043 Fulda,0661 4 10 24,https://www.doering-schrott.de/
pro Arkades Kompostierungsgesellschaft mbH & Co. KG,Top Partner,Recycling,"Lankeweg,",15831 Blankenfelde‑Mahlow,03379 5 72 59,http://www.flaeming-erden.de
TATAY Containerdienst GmbH,Top Partner,Recycling,"Nottebohmstraße 6,",58511 Lüdenscheid,02351 44 80,http://www.tatay-entsorgung.de
Glöckle Baustoffwerke GmbH,Top Partner,Bauschuttrecycling,"Gochsheimer Landstr.,",97506 Grafenrheinfeld,09721 80 01-6 40,http://www.gloeckle-bau.de
elorec GmbH,Top Partner,Recycling,"Alte Bottroper Str. 11‑13,",45356 Essen,0201 9 46 77 02-0,http://www.elorec.de
HBA Handel und Dienstleistung GmbH,Top Partner,Recycling,"Am Hafen 2,",16727 Velten,03304 39 46-0,https://hba-velten.de/
"REMONDIS GmbH & Co. KG, Region Nord",Top Partner,Recycling,"Im Heidland 11,",38518 Gifhorn,05371 9 88 70,http://www.remondis-nord.de
ABSE STYS GmbH Baustoffrecycling,Top Partner,Recycling,"Im Karrenberg 36,",44329 Dortmund,0231 89 10 91,http://www.abse-stys.de
ABSE STYS GmbH Baustoffrecycling,Top Partner,Recycling,"Im Velm 7,",44339 Dortmund,0231 80 18 99,http://www.abse-stys.de
Agro GbR,Top Partner,Recycling,"Am Wiesengrund 1,",16515 Oranienburg,03301 37 18,http://www.agro-germendorf.de
AGRO Holding GmbH,Top Partner,Recycling,"Landstr. 1,",16909 Wittstock/Dosse,03394 43 34 72,http://www.agro-holding.de
Alfred Mandel GmbH,Top Partner,Recycling,"Uferstr. 37‑39,",45881 Gelsenkirchen,0172 6 21 30 92,http://www.mandel-recycling.de/
KMR Kabel-Metall-Recycling GmbH,Top Partner,Recycling,"Am Kietz 9,",16559 Liebenwalde,033054 8 89-0,http://www.kmr-liebenwalde.de
TSR Recycling GmbH & Co.KG,Top Partner,Recycling,"Philipp‑Oehmigke‑Str. 13,",16816 Neuruppin,03391 40 48 45,http://www.tsr.eu
Umwelt und Recycling GmbH,Top Partner,Recycling,"Großmutzer Heuweg 1,",16775 Löwenberger Land,033094 7 09 36,http://www.urd-grueneberg.de
Tremel Entsorgungs und Transport GmbH,Top Partner,Recycling,"Waizendorf 5,",91572 Bechhofen,09822 8 35 30,http://www.tremel-entsorgung.de
Baustoff-Recycling Rathenow GmbH,Top Partner,Recycling,"Semmelweisstr. 2A,",14712 Rathenow,03385 5 20 86 70,
Südbrandenburgischer Abfallzweckverband (SBAZV) Recyclinghof Ludwigsfelde Abfallwirtschaft,Top Partner,Recycling,"Löwenbrucher Ring 4,",14974 Ludwigsfelde,03378 20 85 41,http://www.sbazv.de/verband/recyclinghoefe/#c207
AERIS Recycling & Dienstleistungs GmbH,Top Partner,Recycling,"Zum Wendehammer 7,",14656 Brieselang,033234 24 37 60,https://aeris-gmbh.de
HAMAREC GmbH,Top Partner,Recycling,"Alte Bottroper Str. 86,",45356 Essen,0201 63 49 88 40,http://www.hamarec.de
Poll Umwelt- u. Verfahrenstechnik GmbH,Top Partner,Recycling,"Lünener Str. 2C,",59379 Selm,02592 97 97 50,http://www.poll.de
REMONDIS QR GmbH,Top Partner,Recycling,"Gottlieb‑Daimler‑Str. 33,",46282 Dorsten,02362 60 70-0,http://www.remondis-qr.de
TSR Recycling GmbH & Co. KG,Top Partner,Recycling,"Steineshoffweg 21,",45479 Mülheim an der Ruhr,0208 9 99 54-26,http://www.tsr.eu
TT Recycling GmbH,Top Partner,Recycling,"Oeger Str. 57,",58119 Hagen,02334 81 77 09,https://www.ttrecycling.de.com
vogt-plastic GmbH Kunstoffverarbeitung,Top Partner,Recycling,"Paul‑Schlack‑Str. 1,",14727 Premnitz,03386 24 30 42,http://www.vogt-plastic.de
Wilhelm-Baustoff GmbH,Top Partner,Recycling,"Bundesstr. 96 3,",15837 Baruth/Mark,033704 6 62 52,http://www.Wilhelm-Baustoff.de
Wilhelm-Baustoff GmbH,Top Partner,Recycling,"Veltener Str. 29B,",16515 Oranienburg,03301 20 85 96,http://www.wilhelm-baustoff.de
Beil Franz,Top Partner,Bauschuttrecycling,"Zinzendorf 32,",93086 Wörth,09482 9 01 99,
Abfallentsorgung Kasper OHG Essen,Top Partner,Recycling,"Bottroper Str. 218,",45356 Essen,0201 66 05 86,http://www.kasper-containerservice.de
ARG Abfall-Recycling-Gesellschaft mbH,Top Partner,Recycling,"Stollenstr. 2,",45966 Gladbeck,02043 40 18-0,http://www.argmbh.de
BMR Metall- und Kabelrecycling GmbH,Top Partner,Recycling,"Darritzer Str. 25,",16818 Märkisch Linden,03391 5 10 84 77,http://www.bmr-toepchin.de
BRW Bochumer Recycling Wertstoffhandel GmbH,Top Partner,Recycling,"Dieselstr. 28,",44805 Bochum,0234 5 16 20 53,http://www.brw-site.com
BRW Bochumer Recycling Wertstoffhandel GmbH,Top Partner,Recycling,"Dieselstr. 28,",44805 Bochum,0234 5 16 20 52,http://www.brw-site.com
Cypol GmbH,Top Partner,Recycling,"Baldusstr. 18,",47138 Duisburg,0203 4 50 35-0,http://www.cypol.de
EBK Berliner Kompostierungsgesellschaft mbH,Top Partner,Recycling,"Rudower Str.,",12529 Schönefeld,03379 44 47 02,http://www.ebk-berlin.de
ECOSOIL Nord-West GmbH RCC Recycling-Centrum Castrop,Top Partner,Recycling,"Deininghauser Weg 81,",44577 Castrop‑Rauxel,02305 35 34 07,http://www.ecosoil-umwelt.de/
EMH Technik UG (haftungsbeschränkt),Top Partner,Recycling,"Im Löwental 56,",45239 Essen,0201 6 15 89 55,http://www.emh-technik.de
Fischer u. Söhne GmbH,Top Partner,Recycling,"Altenbochumer Str. 15,",44803 Bochum,0234 9 37 21-0,http://www.FischerSoehne.de
Gebrüder Meisterjahn GmbH Recycling,Top Partner,Recycling,"Eilinger Kamp 11,",58708 Menden (Sauerland),02379 6 91,http://www.meisterjahn-gmbh.de
"Geisler,Glöwener Recycling GmbH",Top Partner,Recycling,"Schwarzer Weg 5,",19348 Perleberg,03876 61 24 98,http://www.perleberger-bau.de
GEKO Holding GmbH,Top Partner,Recycling,"Kortumstr. 50,",45130 Essen,0201 8 12 57 60,http://www.geko-gruppe.de
Hermann Palettenrecycling GmbH Palettengroßhandel,Top Partner,Recycling,"Manderscheidtstr. 87,",45141 Essen,0201 2 94 48 32,http://www.hermann-palettenrecycling.de
Holz-Kontor Bergkamen GmbH & Co. KG,Top Partner,Recycling,"Ernst‑Schering‑Str. 10,",59192 Bergkamen,02307 9 41 42-10,https://www.umweltkontor.de/
HRR Stahlschrott- und Metallrecycling GmbH & Co.KG,Top Partner,Recycling,"Zum Heizwerk 1,",14478 Potsdam,0331 8 69 98-89,http://www.alba-online.de
KSD Innovations GmbH,Top Partner,Recycling,"Werksstr. 15,",45527 Hattingen,02324 95 02 24,http://www.k-s-d.de
Meyer Recycling GmbH & Co. KG,Top Partner,Recycling,"Kohlenweg 8,",44147 Dortmund,0231 98 23 28-0,http://www.meyer-recycling.de
MRH Metall-Recycling GmbH & CoKG Handelsgesellschaft,Top Partner,Recycling,"Franziusstr. 102,",44147 Dortmund,0231 93 11 11-0,http://www.mrh-umwelt.de
Otto-Rüdiger Schulze Holz- und Baustoffrecycling-GmbH & Co.KG,Top Partner,Recycling,"Roteichenweg 9,",16775 Löwenberger Land,033051 9 03 54,http://www.ors-recycling.de
Otto-Rüdiger Schulze Holz- und Baustoffrecycling GmbH & Co. KG,Top Partner,Recycling,"Schleuener Weg 1,",16775 Löwenberger Land,033051 2 66 91,http://www.ors-recycling.de
Recycling-Center Kirchhoff GmbH,Top Partner,Recycling,"Overhoffstr. 33‑35,",44149 Dortmund,0231 96 13 69-0,http://www.kirchhoff-recycling.de
"Reiling Glas- Recycling GmbH & Co. KG, Bernhard",Top Partner,Recycling,"Am Wiesenbusch 34,",45966 Gladbeck,02043 9 71 00-0,http://www.reiling.eu
REMEX Mineralstoff GmbH Betriebsstätte Recklinghausen,Top Partner,Recycling,"Alte Grenzstr. 153,",45663 Recklinghausen,02361 66 01-0,http://www.remex.de
REMINE GmbH,Top Partner,Recycling,"Woltersdorfer Str. 40,",14770 Brandenburg an der Havel,03381 36 83 36,https://www.tsr.eu
RHM Rohstoff-Handelsgesellschaft mbH,Top Partner,Recycling,"Rheinstr. 141,",45478 Mülheim an der Ruhr,0208 9 99 24-0,http://www.rhm-rohstoffe.de
TSR Recycling GmbH & Co. KG,Top Partner,Recycling,"Steineshoffweg 21,",45479 Mülheim an der Ruhr,0208 9 99 54-0,http://www.tsr.eu
Wilhelm Bötzel GmbH & Co. KG,Top Partner,Recycling,"Wittener Str. 170‑176,",58456 Witten,02324 6 86 01 00,https://www.boetzel-schrott.com
Winkelmann Recycling GmbH Recycling,Top Partner,Recycling,"Feineisenstr. 3,",44339 Dortmund,0231 8 80 88 70,http://www.winkelmannrecycling.de
WUCON Recycling GmbH,Top Partner,Recycling,"Waldstr. 32,",14789 Wusterwitz,033839 6 62-0,http://www.smiton.de
Winfried Hopp Recycling GmbH,Top Partner,Recycling,"Roggenhorster Straße 37,",23556 Lübeck,0451 88 19 95 30,http://www.winfried-hopp.de
Riedel Recycling,Top Partner,Containerdienste,"Am Pattberg 20,",47445 Moers,02841 98 20-0,http://www.riedel-recycling.de
Schulze Holz- und Baustoffrecycling GmbH & Co. KG,Top Partner,Recycling,,16775 Löwenberger Land,033094 6 93-0,http://www.ors-recycling.de
Schulze Holz- und Baustoffrecycling GmbH & Co. KG,Top Partner,Recycling,"Griebener Weg,",16775 Löwenberger Land,033094 5 04 32,http://www.ors-recycling.de
HEINZ PULS GmbH & Co. KG,Top Partner,Recycling,"Ostertweute 1,",25541 Brunsbüttel,04852 83 08 76 10,http://www.heinz-puls.de
Eurocycling Umweltservice UG,Top Partner,Recycling,"Industriestr. 3b,",45711 Datteln,0172 2 35 63 97,
HTZ GmbH,Top Partner,Recycling,"Haldenweg 8,",59192 Bergkamen,02307 9 64 79 38,
Perleberger Recycling GmbH,Top Partner,Recycling,"Heinrichsfelde 2,",16866 Kyritz,0171 7 95 36 65,
Pfand L. May,Top Partner,Recycling,"Halterner Str. 246,",45659 Recklinghausen,01510 61 04 00 34,
EBE Entsorgungsbetriebe Essen GmbH,Top Partner,Recycling,"Pferdebahnstr. 32,",45141 Essen,0201 8 54 22-22,http://www.ebegmbh-essen.de
"PreZero Entsorgung, Containerdienst & Wertstoffhof Landsberg",Top Partner,Recycling,"Gutenberger Straße 6,",06188 Landsberg Sachsen Anhalt,034606 25 90,https://prezero.com/landsberg/
"PreZero Entsorgung, Containerdienst & Wertstoffhof Stadthagen",Top Partner,Recycling,"Am Georgschacht 10,",31655 Stadthagen,05721 7 31 67,https://prezero.com/stadthagen/
TSR Recycling GmbH & Co. KG,Top Partner,Recycling,"Äußere Radeweller Straße 2,",06132 Halle (Saale),0345 7 72 87 90,https://www.tsr.eu
Baumgartner & Partner Metallrecycling GmbH,Top Partner,Recycling,"Märkische Allee 67A,",16548 Glienicke/Nordbahn,0174 2 17 41 81,
BAV Aufbereitung Herne GmbH Mineralstoffrecycling,Top Partner,Recycling,"Hertener Str. 34,",44653 Herne,02323 9 64 07-0,
BBKU Wertstoffhandel,Top Partner,Recycling,"Wahrbrink 14,",59368 Werne,02389 7 81 11-0,
CETA Recycling GmbH,Top Partner,Recycling,"Am Pilsholz 2,",59063 Hamm,02381 95 30 45,
ECOSOIL N-W Recycling GmbH,Top Partner,Recycling,"Kölner Str. 17,",58256 Ennepetal,02333 79 24 54,
Expila Recycling GmbH,Top Partner,Recycling,"Birkenwerderstr. 30,",16540 Hohen Neuendorf,0172 8 48 68 39,
EXPILA Technische Dienste GmbH,Top Partner,Recycling,"Birkenwerderstr. 30,",16540 Hohen Neuendorf,0172 8 48 67 01,
HRR Stahlschrott- und Metallrecycling,Top Partner,Recycling,"Mahlower Str. 235,",14513 Teltow,03328 30 39 83,
"Kinze, Hans - Recycling GmbH",Top Partner,Recycling,"Am Pilsholz 2,",59063 Hamm,02381 95 30 44,
Metallrecycling Becker GmbH,Top Partner,Recycling,"Alte Bottroper Str. 11‑13,",45356 Essen,0201 8 15 08 06,
Microma Rohstoff Handels mbH,Top Partner,Recycling,"Norderneyweg 3,",45149 Essen,0201 8 56 59-3,
PLD Peter Liemann Entsorgungsbetrieb,Top Partner,Recycling,"Prälatenweg 26,",45219 Essen,02054 94 09 25,
Recotex GmbH & Co. KG,Top Partner,Recycling,"Feldmarkstr. 11,",46282 Dorsten,02362 9 95 75-0,
Reiling Kunststoffrecycling GmbH,Top Partner,Recycling,"K'Park Str. 20,",59071 Hamm,02388 3 01 21-0,
RELUX Recycling GmbH & Co. KG,Top Partner,Recycling,"Paul‑Schlack‑Str. 4,",14727 Premnitz,03386 2 13 88-0,
Rigos Wertstoffhandel GmbH,Top Partner,Recycling,"Werkstr. 4,",46240 Bottrop,0800  3 05 71 90,
RVB GmbH,Top Partner,Recycling,"Bad Wilsnacker Str. 47,",19322 Wittenberge,03877 5 64 23 68,
Baubetrieb Baumgart,Top Partner,Betonrecycling,"Stadtrodaer Landstr. 2,",07751 Jena,03641 37 53-0,http://www.bb-jena.de
HRR Stahlschrott- und Metallrecycling GmbH & Co.KG,Top Partner,Recycling,,14727 Premnitz,03386 20 01-13,
URB Recycling & Baustoffhandel GmbH & CoKG,Top Partner,Recycling,"Altdorfer Weg,",14823 Niemegk,033843 5 09 08,
TSR Recycling GmbH & Co. KG,Top Partner,Recycling,"Otto‑Röhm‑Straße 57,",64293 Darmstadt,06151 9 80 40,https://www.tsr.eu
TSR Recycling GmbH & Co. KG,Top Partner,Recycling,"Welsauer Weg 14,",04860 Torgau,03421 70 49 83,https://www.tsr.eu
B & B Recycling GmbH,Top Partner,Recycling,"Mittenwalder Str. 15,",12529 Schönefeld,03379 2 07 88-0,http://www.bb-recycling.de
Aachener Papierverwertung & Containerdienst Horsch GmbH & Co. KG,Top Partner,Recycling,"Weißwasserstraße 27,",52068 Aachen,0241 95 89 50,http://www.horsch.de
PreZero Holz-Entsorgung & Annahmestelle Holzabfall,Top Partner,Recycling,"Hafen Berenbusch 4,",31675 Bückeburg,0571 3 88 10 16,https://prezero.com/bueckeburg/
TSR Recycling GmbH & Co. KG,Top Partner,Recycling,"Landdammstraße,",65462 Ginsheim‑Gustavsburg,06134 75 02 25,https://www.tsr.eu
TSR Recycling GmbH & Co. KG,Top Partner,Recycling,"Leinestraße 4,",24539 Neumünster,04321 6 90 59 80,http://www.tsr.eu
Beil Franz,Top Partner,Bauschuttrecycling,"Im Haslet 24,",Wörth a.d.Donau,09482 9 09 55 11,
Franz Schindlbeck GmbH,Top Partner,Recycling,"Dorfstraße 5A,",85452 Moosinning,08123 99 08 18,https://www.bauschuttrecycling-schindlbeck.de
Käthe Koch GmbH & Co. KG,Top Partner,Recycling,"Steinfurt 14,",52222 Stolberg (Rheinland.),02402 2 42 14,http://www.koch-stolberg.de/
KORN Recycling GmbH,Top Partner,Recycling,"Unter dem Malesfelsen 35‑45,",72458 Albstadt,07431 94 92 90,http://www.korn-recycling.de
